地名,センター,燃やせるごみ,燃やせないごみ,プラスチック製容器包装,空き缶・空きびん・ペットボトル
祝津町,室蘭市,月 木,水1,水3,火1 火3
港南町,室蘭市,月 木,水1,水3,火1 火3
増市町,室蘭市,月 木,水1,水3,火1 火3
小橋内町,室蘭市,月 木,水1,水3,火1 火3
築地町,室蘭市,月 木,水1,水3,火1 火3
緑町,室蘭市,火 金,水1,水3,金2 金4
西小路町,室蘭市,火 金,水1,水3,金2 金4
沢町,室蘭市,火 金,水3,水1,金2 金4
幕西町,室蘭市,火 金,水3,水1,金2 金4
海岸町,室蘭市,火 金,水3,水1,金2 金4
海岸町3丁目9番と8・10番の一部,室蘭市,火 金,水1,水3,金2 金4
中央町,室蘭市,火 金,水3,水1,金2 金4
常盤町,室蘭市,火 金,水3,水1,金2 金4
清水町,室蘭市,火 金,水3,水1,金2 金4
幸町,室蘭市,火 金,水3,水1,金2 金4
本町,室蘭市,火 金,水3,水1,金2 金4
栄町,室蘭市,火 金,水3,水1金2 金4,
舟見町,室蘭市,火 金,水3,水1,金2 金4
山手町,室蘭市,火 金,水3,水1,金2 金4
入江町,室蘭市,火 金,水3,水1,金2 金4
茶津町,室蘭市,火 金,水1,水3,水2 水4
新富町,室蘭市,火 金,水1,水3,水2 水4
母恋北町,室蘭市,火 金,水1,水3,水2 水4
母恋南町,室蘭市,火 金,水1,水3,
御前水町,室蘭市,,,,
御崎町,室蘭市,,,,
大沢町,室蘭市,,,,
輪西町,室蘭市,,,,
みゆき町,室蘭市,,,,
みゆき町3丁目の一部（旭町自治会）,室蘭市,,,,
東町,室蘭市,,,,
東町5丁目16番1,室蘭市,,,,
寿町,室蘭市,,,,
日の出町,室蘭市,,,,
中島町,室蘭市,,,,
中島本町,室蘭市,,,,
知利別町,室蘭市,,,,
知利別町2丁目32番12～14,室蘭市,,,,
知利別町4丁目29～33番・41～44番,室蘭市,,,,
宮の森町,室蘭市,,,,
宮の森町1丁目1番・5番の一部,室蘭市,,,,
宮の森町2丁目1番と2番の一部,室蘭市,,,,
八丁平,室蘭市,,,,
高砂町1・2・3丁目,室蘭市,,,,
高砂町4・5丁目,室蘭市,,,,
水元町,室蘭市,,,,
天神町,室蘭市,,,,
高平町,室蘭市,,,,
本輪西町,室蘭市,,,,
港北町,室蘭市,,,,
柏木町,室蘭市,,,,
幌萌町,室蘭市,,,,
陣屋町,室蘭市,,,,
神代町,室蘭市,,,,
香川町,室蘭市,,,,
白鳥台,室蘭市,,,,
崎守町,室蘭市,,,,
石川町,室蘭市,,,,
石川町の一部（香川町会）,室蘭市,,,,
